18351,893
16398,6576
5894,7022
14699,9244
3317,210
13582,7592
2753,2227
2589,9191
3079,10051
2332,10018
1703,4073
13926,2313
6885,906
17099,1529
1753,1504
9604,3672
2031,2376
5163,62
11768,11978
16863,10192
15388,9117
884,1975
8388,3407
17734,9503
10012,4099
4569,11149
10377,2376
860,8655
15015,5677
10124,10559
21234,6577
12113,8103
15358,1634
17877,1733
16721,5498
10121,11257
21557,6517
16911,10737
6988,6214
18752,7561
13924,11946
12096,1091
18362,10804
12661,6765
20849,9389
13574,1031
13756,11465
7508,4123
21092,3713
8202,9245
5396,619
4515,1343
12066,1574
19272,11532
6211,3177
4488,10663
5939,9594
21310,7203
16506,9143
5123,9568
17229,1692
17135,8365
18343,8893
20631,4964
17855,10923
3960,7577
2189,6071
4648,9805
18536,954
398,11855
19522,5342
11505,8269
6934,7411
4002,11950
14641,5826
12334,11024
13433,10552
6930,562
2611,555
11811,12067
14108,6447
14775,10648
8654,6943
19855,10772
16893,7464
17298,7399
9631,2130
4761,6339
1512,1584
19268,8255
7594,4749
13704,10528
923,4640
1328,5430
3463,3269
3730,7742
11241,7783
20322,4244
10276,2071
19490,606
14013,8040
4031,4924
7873,4182
22023,7713
22143,12089
6980,1779
1995,9148
732,7688
20760,734
14977,5615
14964,1652
13957,6131
12442,11812
6865,4875
10456,8262
16138,6056
10259,5216
20261,8212
10458,1605
9296,2616
13695,4233
4748,1332
9762,11636
7824,8236
3612,9325
5445,11512
1750,2528
20977,10327
927,11889
9029,8975
18600,8803
17291,5997
11402,5507
6536,347
2013,10044
20291,6350
4568,6586
7198,1851
2213,581
5465,8575
20914,8183
1389,1367
19522,6498
12471,11766
21982,10852
8671,1840
18338,6287
16817,3116
16721,4138
488,2112
4898,5958
3163,302
4444,9851
17007,8976
9287,11937
18413,11903
16546,6427
21713,8462
17056,7569
11767,6561
1197,7827
679,9045
11948,8650
6036,1768
5094,8024
22359,5480
3421,5629
22299,6943
1284,9140
15757,4900
9069,4236
17760,8211
18596,6696
6427,7858
16158,10974
15979,3273
10419,4740
7714,98
12256,4971
12137,10852
1829,7813
15768,9694
7319,10127
15419,10929
4863,12098
7304,9304
362,4237
12747,5332
12398,3945
11913,6882
5687,1969
19913,1034
4081,3977
14595,2789
16191,4541
12670,1933
13748,3783
5708,2993
9310,7714
18746,11206
8700,8992
12956,2425
20664,4123
708,2266
6843,404
17403,7499
16965,2407
4781,8532
7719,6444
9654,6517
2417,7275
2093,4437
19719,7016
13918,9275
12123,5603
16438,9803
15720,7992
654,4895
18714,2686
8199,5324
3334,7420
12320,5017
22113,5509
17591,6527
14192,5497
15296,11820
10339,5187
13168,3463
2360,7190
11573,4058
19609,5799
1129,7551
22267,1029
14604,10117
16493,8887
20129,10043
18068,9996
16098,8500
12670,7748
16503,3395
14265,7308
11291,4031
1653,6075
20779,414
11304,4928
2121,9562
9559,1457
5987,3093
6542,1827
14514,8765
7606,1596
20807,1685
3025,4028
6170,697
5214,11152
16161,2651
13740,7372
9106,4479
20353,9782
10070,9218
1079,5381
932,7512
18256,6749
2404,5850
3530,851
5201,6209
4701,3735
175,4829
17558,3240
7281,5234
12665,8653
21772,1076
20181,4688
15689,10925
18731,10430
8462,4900
12254,6514
19735,4964
1087,11170
18817,9973
16102,2941
6491,7321
12839,1719
8131,7207
10379,11765
6320,5499
8728,11441
14271,10665
21530,406
12538,9098
13572,5671
1462,4979
238,9086
176,9965
9349,6571
2276,7666
2204,3160
11971,9254
20155,266
543,4028
16643,4091
20652,8789
14105,10712
4378,12076
21016,2874
18052,1265
13810,3672
17802,5361
13910,3532
20219,12013
20565,11063
16634,9831
7047,6826
14896,3564
14715,9260
17811,10962
16489,11752
21254,2176
7810,11383
22183,5688
9795,1863
11651,12074
12634,5411
19207,2137
305,9245
12581,10223
8060,11108
2397,7727
5981,7014
10767,1768
14496,11698
5921,3156
1924,1128
9013,5282
6369,5827
14240,7539
3946,526
3458,1350
12069,8457
2120,1768
458,8029
6524,6067
12132,8299
15001,6912
19798,1823
13671,735
20105,3438
2275,8344
2133,4778
5879,2715
9091,9818
19364,2317
17255,3050
1978,3481
13141,3666
19492,9856
19070,2027
18872,9004
3952,11235
18303,3342
10922,5221
12471,4655
12092,3495
4299,7403
13897,7002
3989,8423
610,4771
18341,11403
17264,6282
11836,7194
4671,11304
18900,4758
8159,2217
16276,3974
13569,11552
9254,8501
3838,210
9244,8521
14790,4704
1798,6363
13643,6914
9675,9314
11353,6173
4257,3958
7806,8322
4921,421
9069,8699
2659,3135
10706,575
12184,7745
19853,2824
2397,184
5977,11216
5764,8680
7254,6308
17485,3104
12173,54
9992,1186
3798,100
19749,6642
15897,5053
1648,2871
15278,7795
17399,11473
13198,870
10278,10114
20432,7886
21186,8274
4647,2483
6012,1130
11143,10082
7864,7316
14418,1626
2961,9101
1569,6387
1687,10916
3726,5734
6529,2879
16791,10925
2034,5029
8068,8686
11049,4541
1532,3646
3677,10713
1240,10427
7291,1506
8825,4334
7220,9165
9166,2526
665,3463
18282,4801
1314,2202
1290,935
19486,5959
13100,7134
8476,9150
16493,1597
13242,11380
1279,4875
8002,6115
2951,5048
19192,2020
14546,10652
5788,8237
2907,10248
10822,9570
7550,302
8894,7594
21890,6308
12657,5175
20968,3508
9440,9764
10530,247
10608,4788
5710,4107
21331,11829
9359,6355
14783,282
5621,11692
8648,9767
8556,5361
13623,7192
9932,11644
20140,2924
8816,6263
21128,4706
14494,8389
864,8048
19962,2175
16902,75
3335,10217
